"V1","Demeaned series  cpi_all_mom","Constructed series  cpi_all_mom","Cumulative effect of  oil_USD shock on  cpi_all_mom","Cumulative effect of  imp_price_mom shock on  cpi_all_mom","Cumulative effect of  miacr_31 shock on  cpi_all_mom","Cumulative effect of  neer_mom shock on  cpi_all_mom","Cumulative effect of  gdp_per_cap_SA shock on  cpi_all_mom","Cumulative effect of  cpi_all_mom shock on  cpi_all_mom"
88,-0.001003599612403,-0.00092812692696274,-0.000157847241253389,0.000683761253450639,0.000311592857311968,-0.000155571892876603,-0.0011465556309798,-0.000463506272615553
89,-0.00287147042290646,-0.00281110278119631,0.000283748121087701,0.000412530947348996,0.000377649855651796,-0.000494978927235946,-0.00335624265001136,-3.38101280374969e-05
90,-0.00150806307112685,-0.00146146679236292,0.000130003220025154,0.000212145203574827,0.000334904129242388,-0.000767416999888932,-0.00134692445692042,-2.41778883959406e-05
91,-0.00241138057456727,-0.00236972325358363,3.98761187401915e-05,-0.000224327283337445,0.000147661073495471,-0.0013490805756202,-0.000782473471251443,-0.000201379115610203
92,-0.00190984051001241,-0.00187572625949573,0.000141327105157563,-0.000264840360721951,0.000195734394742422,-0.00165567223325637,-4.89226903701309e-05,-0.000243352475047261
93,-0.00371193353535289,-0.00368719362244604,3.87653114620938e-05,8.78687845334054e-06,-0.000320108683662674,-0.00148321475782314,-0.00173346775677304,-0.000197954614102632
94,-0.000569167260004931,-0.000544513155234107,0.000115753914302826,0.000346509397741735,-0.000253366182617912,-0.000822454156113383,0.000595167462296561,-0.000526123590843932
95,0.00052479756824657,0.000552084095443739,0.000545832659753831,0.000143985709547636,-0.000927092267224504,-0.000587599435418891,0.0016272725079996,-0.000250315079213931
96,-0.00112238099576407,-0.00109637416225661,0.000487482428061498,0.00037118097664838,-0.000689460132748925,-0.00049993827511566,-0.00046438938066488,-0.000301249778437024
97,0.00188285855182548,0.00191317282126815,-0.00011476840555817,0.00076058446131787,-0.000844209955859727,0.000843986713486536,0.00167226332816518,-0.000404683320283543
98,9.21768852925296e-05,0.0001324362863044,-0.000513261640511358,0.00082756910602535,-0.000410123834844253,0.00159232489313108,-0.00052058462710152,-0.000843487610394898
99,-0.00173739234237789,-0.00169148171056536,-0.000530914557371076,0.000273688070277879,0.00024295901569741,0.00140948101940599,-0.00261104599169608,-0.000475649266879488
100,-0.00010392677461265,-5.2319219211795e-05,-0.000557882787445723,0.00029591172818186,-5.16607074216043e-06,0.00085769294914588,-0.000712618772955589,6.97437346039367e-05
101,-0.00103084288455494,-0.000968041493321647,-0.000364149716718983,0.000495511158297364,-0.000248436375627361,0.000724874864913262,-0.00178860960886911,0.00021276818468318
102,-0.00198435839591168,-0.00191337736770075,6.41142306331236e-06,0.000193782674732573,-0.000552742509848583,0.000790472439372171,-0.00228803454859711,-6.3266846423117e-05
103,-0.00530839665982662,-0.00523380878063216,9.1366803775242e-05,-0.000466435473565862,-0.000270592554390619,0.00109450372173334,-0.00540601993587,-0.000276631342314263
104,-0.00036504346615342,-0.000283740751793999,-0.000155459226260702,-0.000192803262421457,-3.75052889794615e-05,0.00264726171017625,-0.00238961271105419,-0.000155621973254444
105,0.00287380904124619,0.00296110858691693,-9.27222726061505e-05,-1.45690069008507e-05,0.000220752540252627,0.00388549089776915,-0.000939746052519779,-9.80975190780646e-05
106,0.00309731179688191,0.00318423266001592,-4.90233993323014e-05,-0.000303175502246953,0.00141873246695467,0.00267201054316467,-0.000609004135372865,5.46926868486919e-05
107,0.0029722264009661,0.00305880257670693,-0.000317320061768938,-0.000136341198331983,0.00185464696830059,0.000260809265105247,0.00142339882459,-2.63912211879775e-05
108,0.00106266043451669,0.00115050131620039,-0.000348603189587117,-4.39415560339947e-07,0.00157643190622106,-0.00120869586110856,0.00136459208115776,-0.000232784204922417
109,-0.0012251848158567,-0.00114112800254488,0.000103355504753106,-0.00021798584587662,0.000819938192389694,-0.00146230178681458,0.000237967945360506,-0.00062210201235699
110,0.00104307011305361,0.00112106802096472,0.00021642316513532,-0.000510269108002319,0.000689791514133016,0.000146562946847868,0.000896905450158185,-0.000318345947307346
111,0.00260092028531514,0.00267590089434194,0.000217082867760302,-0.00015023869079104,0.000199438213195716,0.00177817635814959,0.000767143749268788,-0.000135701603241415
112,0.0021865713386914,0.00225680177777016,0.000795918501230078,0.000304308949262423,3.2298536252713e-05,0.00237364434554838,-0.000758938333799182,-0.000490430220724252
113,0.00576262227577282,0.0058250322349554,0.00143224086752932,9.34567109970754e-05,4.23345070094808e-05,0.00420453344457545,0.000724759049690255,-0.000672292344846176
114,0.018709169427145,0.0187668412215769,0.00202198516650404,0.000276326288053553,0.00222728468454365,0.00818524388745699,0.00618156128770722,-0.000125560092688577
115,0.0276510505888462,0.0277057266300623,0.00263722218978018,0.000604610312756192,0.00498878157119275,0.0103660580464421,0.00831266892891358,0.000796385580977564
116,0.0148868577629943,0.0149361046663955,0.00231199393089231,0.000838759126435385,0.0038383839559508,0.00761525342143135,-0.000234018963960997,0.000565733195646612
117,0.00480964640263372,0.00485531196654794,0.00135201140254562,0.000605761033231794,0.00132884830402578,0.00375758952417706,-0.00192457716283547,-0.000264321134596851
118,-0.00131063157399805,-0.00126474330960926,0.000703037386975101,0.000400831572809391,-0.00170543823151253,-0.000242493568491603,-0.000579464658583455,0.000158784189193834
119,-0.00228075618708677,-0.002235654812158,0.000733280944047788,0.00036968206958907,-0.00184641138595085,-0.00243505096671587,0.000792505265910997,0.000150339260960868
120,-0.00319410610739595,-0.00314981145624083,0.000913745798904319,0.000504785876553908,-0.00192383993814664,-0.000350295485758188,-0.00215931360211526,-0.000134894105678968
121,0.0018825440731742,0.00192983098618416,0.00116843413225595,0.000705580880451469,-0.00105003092066144,0.00171124707049536,-0.000486361366425482,-0.000119038809931703
122,0.00201585936854042,0.002066559437269,0.0012558247726816,0.000504469373569028,0.000660534301247913,0.00275414340533862,-0.00333285409534599,0.000224441679777832
123,0.00177567961742043,0.00182812779362151,0.000812237166900455,0.000399726239837918,0.00103212011106138,0.00412739548197066,-0.00444286008964045,-0.000100491116508452
124,0.00128081940344816,0.00133713613594325,0.000835431824954293,0.000518689236643084,0.00110065088536456,0.0023769726857501,-0.00310823175746681,-0.000386376739301987
125,0.00041466429956453,0.000476152410375801,0.00118639461567758,0.000585659394164181,0.000866446946878531,-0.000253254439163981,-0.00171043235166054,-0.000198661755519973
126,4.53541897926296e-05,0.000109605927931765,0.00193710809401512,0.000599377285699417,5.26527423091071e-05,0.000288307367767299,-0.00282765257297442,5.9813011115235e-05
127,-0.00083322003639097,-0.000766369054229685,0.00243999358417451,-9.20482267613324e-05,-0.00129101888628578,0.00349685506377948,-0.00581969380807307,0.000499543218936509
128,-0.00074157051385592,-0.000670659474128012,0.00202590869402107,3.42500803676806e-05,-0.00170322202255471,0.00592150121732067,-0.00791203314901827,0.000962935705735536
129,-0.00238234380355597,-0.00230940018952913,0.000824206524126779,0.000266668045247599,-0.000487656404911401,0.0032102301575661,-0.00676782294980961,0.000644974438251404
130,-0.00177409391362203,-0.00170104101499794,-0.000358582491445135,0.000260500680128733,0.000841921674285596,-0.00101699705780455,-0.00128059881106095,-0.000147285009101638
131,-0.00184829895116803,-0.0017740887726471,-0.00105045813819988,9.9348126341236e-06,0.00167460558136183,-0.00223032331317835,-0.000195140783209433,1.7293067944613e-05
132,-0.00189490857029118,-0.00182036005997558,-0.00140494804062043,-7.64586953972362e-05,0.00145179753940041,-0.00192769113967853,-0.000688209829611001,0.000825150105931215
133,-0.00068881065773123,-0.000616405452865559,-0.0011756806890789,-0.000182937414876468,0.000605499540755402,-0.00177151942400894,0.000466893822812936,0.00144133871153041
